item_name,2026-02-09 21:04,2026-02-09 12:30
유물 각성 각인서,47000,45977
유물 강령술 각인서,29,40
유물 강화 방패 각인서,11,8
유물 결투의 대가 각인서,30590,30400
유물 구슬동자 각인서,7100,7400
유물 굳은 의지 각인서,12,12
유물 급소 타격 각인서,995,1150
유물 기습의 대가 각인서,64000,64888
유물 긴급구조 각인서,100,134
유물 달인의 저력 각인서,150,88
유물 돌격대장 각인서,144755,144500
유물 마나 효율 증가 각인서,2887,3098
유물 마나의 흐름 각인서,8300,8365
유물 바리케이드 각인서,3978,3890
유물 번개의 분노 각인서,9,31
유물 부러진 뼈 각인서,21,22
유물 분쇄의 주먹 각인서,25,43
유물 불굴 각인서,22,21
유물 선수필승 각인서,332,250
유물 속전속결 각인서,1880,1977
유물 슈퍼 차지 각인서,23900,24996
유물 승부사 각인서,294,290
유물 시선 집중 각인서,95,96
유물 실드관통 각인서,14,8
유물 아드레날린 각인서,149900,150000
유물 안정된 상태 각인서,1500,1639
유물 약자 무시 각인서,19,22
유물 에테르 포식자 각인서,147,140
유물 여신의 가호 각인서,9,14
유물 예리한 둔기 각인서,126500,128000
유물 원한 각인서,155999,155000
유물 위기 모면 각인서,249,250
유물 저주받은 인형 각인서,61500,61900
유물 전문의 각인서,27500,27999
유물 정기 흡수 각인서,490,489
유물 정밀 단도 각인서,399,535
유물 중갑 착용 각인서,2221,2322
유물 질량 증가 각인서,81500,81413
유물 최대 마나 증가 각인서,66,50
유물 추진력 각인서,114,119
유물 타격의 대가 각인서,44999,45000
유물 탈출의 명수 각인서,9,8
유물 폭발물 전문가 각인서,333,340
