item_name,sub_category,2026-03-08 09:59
들꽃,식물채집,137
수줍은 들꽃,식물채집,359
화사한 들꽃,식물채집,995
아비도스 들꽃,식물채집,1046
목재,벌목,102
부드러운 목재,벌목,206
튼튼한 목재,벌목,1050
아비도스 목재,벌목,1350
철광석,채광,116
묵직한 철광석,채광,234
단단한 철광석,채광,1469
아비도스 철광석,채광,1318
진귀한 가죽,수렵,7
두툼한 생고기,수렵,125
수렵의 결정,수렵,140
다듬은 생고기,수렵,286
오레하 두툼한 생고기,수렵,1847
아비도스 두툼한 생고기,수렵,1297
낚시의 결정,낚시,63
생선,낚시,106
붉은 살 생선,낚시,215
오레하 태양 잉어,낚시,612
아비도스 태양 잉어,낚시,1355
진귀한 유물,고고학,8
고고학의 결정,고고학,71
고대 유물,고고학,107
희귀한 유물,고고학,213
오레하 유물,고고학,830
아비도스 유물,고고학,1338
견습생용 제작 키트,기타,83
숙련가용 제작 키트,기타,1
도구 제작 부품,기타,31
전문가용 제작 키트,기타,314
초보자용 제작 키트,기타,400
달인용 제작 키트,기타,36000
