item_name,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-14,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-21,2026-03-22,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-05-30,2026-05-31,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-06,2026-06-07,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-13
각성 물약,116224.0,62301,58342,96455,72707,65335,84841,66403,54218,35954,93540,82278,81709,95516,74506,51325.0,33012.0,75495.0,79343.0,77353.0,86134.0,87776.0,70254.0,45289.0,155679.0,121743.0,102630.0,128771.0,116269.0,56830.0,52644.0,112021.0,81715,86400.0,94741.0,86663.0,50191.0,45597.0,110964.0,82177.0,78371.0,98756,55262.0,40615.0,44491.0,91914.0,82274.0,64820.0,64823.0,66790.0,34334.0,35683.0,88129,80996.0,75678.0,82808.0,56872.0,39698.0,38905.0,115719.0,87403.0,102141.0,107753.0,79540.0,53110.0,36009.0,64928.0,67338.0,72569.0,51545.0,54079.0,35787.0,46772.0,91834.0,93875.0,43362.0,64506.0,61545.0,38230.0,38281.0,115767.0,63591.0,54785.0,61583.0,73429.0,67086.0,43462,147116.0,151680,144336,222867,183078.0,161735.0,84083,110810.0,106181.0,111524,148982.0,149114,60618,60938.0,170215.0,86371.0,99537.0,103797.0,114978.0,51119.0,56466.0,97288.0,72129.0,85664.0,14402.0
강화 야금술 : 업화 [19-20],200.0,125,129,175,260,245,220,232,148,124,256,251,186,274,338,144.0,148.0,208.0,205.0,230.0,279.0,272.0,163.0,179.0,294.0,231.0,226.0,278.0,172.0,157.0,134.0,280.0,212,106.0,296.0,235.0,81.0,95.0,259.0,139.0,161.0,211,189.0,102.0,118.0,148.0,96.0,137.0,208.0,273.0,69.0,76.0,126,195.0,70.0,189.0,159.0,101.0,25.0,120.0,148.0,56.0,138.0,69.0,78.0,77.0,130.0,74.0,54.0,80.0,79.0,56.0,90.0,74.0,102.0,53.0,56.0,49.0,75.0,36.0,47.0,78.0,84.0,29.0,36.0,56.0,59,70.0,56,51,57,28.0,52.0,25,60.0,8.0,35,14.0,35,42,37.0,78.0,11.0,2.0,17.0,20.0,25.0,55.0,48.0,18.0,33.0,0.0
강화 재봉술 : 업화 [19-20],889.0,542,511,667,845,1287,1151,935,895,802,861,1080,1170,1221,1365,1000.0,676.0,1167.0,1059.0,923.0,1436.0,1267.0,914.0,500.0,1368.0,1166.0,1132.0,1354.0,1103.0,807.0,796.0,1113.0,958,915.0,1088.0,1046.0,870.0,697.0,918.0,769.0,800.0,1271,759.0,737.0,575.0,846.0,861.0,762.0,862.0,1360.0,347.0,529.0,890,724.0,865.0,828.0,921.0,471.0,597.0,876.0,616.0,450.0,937.0,673.0,550.0,466.0,838.0,606.0,816.0,478.0,641.0,479.0,412.0,663.0,348.0,540.0,615.0,507.0,591.0,337.0,443.0,595.0,413.0,347.0,393.0,306.0,426,492.0,277,246,155,201.0,241.0,142,268.0,195.0,168,147.0,246,260,220.0,283.0,193.0,172.0,225.0,185.0,73.0,90.0,180.0,168.0,112.0,3.0
견습생용 제작 키트,4.0,2,9,3,2,4,1,1,9,1,0,0,3,82,66,1.0,7.0,3.0,6.0,1.0,3.0,306.0,31.0,4.0,6.0,1.0,7.0,32.0,11.0,5.0,102.0,1.0,3,11.0,0.0,3.0,441.0,192.0,2.0,429.0,105.0,0,16.0,0.0,0.0,2.0,2.0,3.0,14.0,21.0,1.0,0.0,0,3.0,25.0,15.0,248.0,0.0,24.0,15.0,5.0,1.0,5.0,1.0,2.0,43.0,1.0,41.0,4.0,2.0,19.0,7.0,1.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,204,132,104,6.0,0.0,2,1.0,0.0,5,562.0,2,1,3.0,8.0,1.0,3.0,1.0,2.0,247.0,12.0,7.0,1.0,2.0,0.0
고고학의 결정,879.0,108,150,103,0,0,57,325,109,242,129,5,149,166,292,468.0,150.0,290.0,107.0,34.0,35.0,308.0,26.0,377.0,41.0,0.0,0.0,1.0,7.0,111.0,378.0,160.0,0,0.0,14.0,218.0,282.0,252.0,225.0,26.0,118.0,0,0.0,1.0,0.0,0.0,0.0,216.0,0.0,54.0,307.0,40.0,7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,122.0,364.0,0.0,26.0,0.0,70.0,10.0,321.0,454.0,92.0,0.0,43.0,0.0,0.0,318.0,30.0,0.0,0.0,0.0,23.0,178.0,135.0,0.0,0,0.0,0,0,0,106.0,447.0,112,97.0,45.0,0,1.0,1,0,25.0,0.0,0.0,6.0,88.0,297.0,63.0,179.0,499.0,0.0,10.0,0.0
고급 회복약,3130.0,461,798,2806,3646,2794,2948,2426,1414,1369,3709,2711,3413,2358,2129,2563.0,1089.0,2321.0,2388.0,2124.0,1994.0,1777.0,2033.0,1995.0,6086.0,6865.0,3309.0,5996.0,5060.0,1809.0,3574.0,5522.0,5096,6227.0,5271.0,5475.0,5551.0,1917.0,5521.0,5200.0,3639.0,3749,4501.0,607.0,1185.0,3380.0,3267.0,2776.0,5272.0,3427.0,1217.0,1419.0,2209,3164.0,2322.0,3678.0,2543.0,2069.0,1182.0,4170.0,2839.0,2994.0,3188.0,3016.0,2559.0,1605.0,2903.0,3509.0,1697.0,1559.0,5484.0,1915.0,1973.0,1488.0,2756.0,2581.0,1847.0,2073.0,1312.0,3817.0,3043.0,1781.0,2358.0,2313.0,1794.0,1395.0,1419,2677.0,3751,2472,2207,3817.0,3671.0,1233,4300.0,2802.0,2358,2797.0,4169,2201,644.0,4523.0,3120.0,4339.0,2074.0,2508.0,2424.0,1822.0,4247.0,3069.0,3770.0,911.0
고대 유물,167757.0,119340,121215,105774,149060,118456,112895,125611,145579,115547,99935,112690,145534,147842,145191,133340.0,152213.0,113861.0,139707.0,130496.0,150549.0,158680.0,120115.0,132012.0,121925.0,123583.0,129043.0,125812.0,136843.0,119128.0,113438.0,81854.0,97454,93396.0,114726.0,122713.0,99108.0,102342.0,96576.0,105403.0,101723.0,101276,117534.0,101837.0,116631.0,83961.0,116718.0,111178.0,135823.0,122492.0,125028.0,123825.0,89853,98425.0,117635.0,117077.0,139527.0,121872.0,134797.0,105890.0,118094.0,121489.0,127210.0,143320.0,129646.0,107469.0,90793.0,99270.0,102268.0,113384.0,124852.0,111425.0,147479.0,79468.0,93584.0,99172.0,107093.0,107093.0,92859.0,89959.0,79914.0,86423.0,115949.0,113709.0,104933.0,94937.0,98885,91102.0,89291,91504,150650,100929.0,96289.0,88067,99371.0,117142.0,118956,110791.0,111427,98739,103359.0,104749.0,87825.0,85445.0,82844.0,82267.0,88908.0,69711.0,69556.0,72216.0,60710.0,10769.0
낚시의 결정,559.0,292,302,58,131,229,324,284,87,0,113,232,0,37,119,226.0,96.0,0.0,308.0,30.0,208.0,313.0,187.0,282.0,501.0,83.0,0.0,0.0,0.0,0.0,85.0,2.0,0,15.0,207.0,556.0,85.0,258.0,17.0,0.0,0.0,3,260.0,82.0,96.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,159.0,24.0,141.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,177.0,241.0,155.0,34.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,36,409.0,0,0,159,0.0,0.0,0,249.0,154.0,3,1.0,0,0,0.0,88.0,149.0,249.0,1.0,45.0,0.0,42.0,223.0,0.0,0.0,0.0
냉기 수류탄,0.0,0,0,10,0,0,0,0,213,51,0,0,0,0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0,0.0,0.0,0.0,0.0,136.0,0.0,116.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
다듬은 생고기,12503.0,10668,9336,8716,7137,8220,12033,8292,11648,8597,8990,9623,19088,18903,12074,12379.0,12834.0,13979.0,10890.0,12048.0,16753.0,16632.0,15556.0,13991.0,16628.0,12913.0,13113.0,12069.0,16970.0,13533.0,12903.0,10492.0,12143,8260.0,11259.0,13649.0,11076.0,9783.0,11334.0,8766.0,8643.0,11336,13161.0,10958.0,10435.0,10977.0,11907.0,9286.0,11476.0,12674.0,11579.0,14646.0,8507,8849.0,9492.0,11129.0,18162.0,11524.0,10172.0,14218.0,13477.0,10384.0,13300.0,13991.0,9519.0,14654.0,10053.0,9630.0,11531.0,10920.0,12831.0,11898.0,11544.0,9527.0,12571.0,8967.0,8987.0,9987.0,9886.0,8177.0,8272.0,9295.0,7357.0,9413.0,10281.0,4472.0,6515,12801.0,10085,16997,12868,12012.0,19482.0,9127,11544.0,11712.0,10340,12499.0,13409,9503,11004.0,10989.0,12162.0,6815.0,13273.0,9823.0,7855.0,11329.0,8761.0,7640.0,6479.0,956.0
